title,artist,genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,popularity,has_win_award
Take Me Home Country Roads,John Denver,adult standards,1971,82,40,46,-9,12,63,190,76,3,70,False
Reelin' In The Years,Steely Dan,album rock,1972,135,76,52,-10,11,71,275,12,4,70,False
Mandy,Barry Manilow,adult standards,1974,104,46,31,-9,14,32,213,42,3,69,False
Everything I Own,Bread,adult standards,1972,79,34,37,-13,10,45,187,74,3,69,False
Sailing,Rod Stewart,adult standards,1975,129,37,43,-10,32,19,278,37,3,68,False
Detroit Rock City,KISS,album rock,1978,91,90,55,-7,29,46,216,4,7,68,False
Let Your Love Flow,The Bellamy Brothers,country,1976,109,55,68,-15,14,95,199,6,3,68,False
You Ain't Seen Nothing Yet,Bachman-Turner Overdrive,album rock,1974,118,44,48,-15,22,76,235,0,4,68,False
Are You Ready For Love? - Remastered,Elton John,glam rock,2017,117,75,80,-5,11,75,212,25,3,67,False
Guilty (feat. Barry Gibb),Barbra Streisand,adult standards,1980,151,43,63,-16,11,95,264,23,4,67,False
Fat Bottomed Girls - 2011 Remaster,Queen,glam rock,1978,89,68,33,-8,34,42,256,3,5,67,False
Love Really Hurts Without You,Billy Ocean,dance rock,2016,141,90,52,-4,10,96,179,0,3,66,False
Your Song,Elton John,glam rock,1990,128,33,55,-11,11,30,241,78,3,66,False
Here You Come Again,Dolly Parton,classic country pop,1977,106,51,53,-9,4,56,179,65,4,66,False
Move On Up,Curtis Mayfield,chicago soul,1970,139,97,54,-6,12,93,166,42,9,66,False
Waterloo,ABBA,europop,1974,148,95,45,-5,9,65,169,40,5,66,False
A Song for You,Donny Hathaway,chicago soul,1971,88,22,32,-13,25,7,326,82,4,65,False
"Evergreen (Love Theme from, ""A Star Is Born"")",Barbra Streisand,adult standards,1976,114,30,34,-11,9,19,185,93,3,65,False
Dancing Queen,ABBA,europop,2008,101,93,51,-4,56,68,231,17,5,65,False
Can't You See,The Marshall Tucker Band,album rock,1973,164,71,41,-5,11,58,365,28,3,65,False
Won't Get Fooled Again - Original Album Version,The Who,album rock,1971,135,92,69,-6,8,23,511,30,6,65,False
Bennie And The Jets - Remastered 2014,Elton John,glam rock,1973,133,67,67,-8,50,78,323,26,5,65,False
Sunny,Boney M.,disco,1976,122,87,65,-6,13,80,242,9,11,64,False
It's A Shame,The Spinners,classic soul,1970,199,64,37,-12,12,71,190,9,6,64,False
Voulez-Vous,ABBA,europop,1979,127,77,71,-7,17,90,309,15,4,63,False
Goodbye Yellow Brick Road - Remastered 2014,Elton John,glam rock,1973,121,47,56,-8,15,40,193,45,3,63,False
